Destination,Country,Budget,Best_Months,Tags
Paris,France,High,May-September,"culture,romantic,history,art"
Kyoto,Japan,Medium,March-May,"culture,temples,nature,tradition"
Bali,Indonesia,Low,April-October,"beach,adventure,wellness,nature"
Rome,Italy,High,April-June,"history,culture,food,art"
Cape Town,South Africa,Medium,November-March,"adventure,nature,wildlife"
Banff,Canada,High,June-August,"nature,mountains,hiking,lakes"
Machu Picchu,Peru,Medium,May-September,"history,adventure,mountain"
Santorini,Greece,High,May-October,"beach,romantic,scenic,sunset"
Istanbul,Turkey,Low,April-June,"culture,history,bazaars,mosques"
New York,USA,High,April-June,"urban,shopping,landmarks,art"
Dubai,UAE,High,November-March,"modern,shopping,desert,luxury"
Reykjavik,Iceland,High,June-August,"nature,northern_lights,volcano"
Queenstown,New Zealand,Medium,December-February,"adventure,lake,nature,ski"
Cairo,Egypt,Low,October-April,"history,pyramids,desert,culture"
Petra,Jordan,Low,March-May,"history,desert,adventure,ruins"
Barcelona,Spain,Medium,May-June,"art,culture,food,beach"
Hanoi,Vietnam,Low,October-December,"culture,street_food,history,nature"
Ladakh,India,Low,June-September,"mountains,adventure,buddhism,nature"
Rio de Janeiro,Brazil,Medium,December-March,"beach,culture,festivals,viewpoints"
Siem Reap,Cambodia,Low,November-March,"temples,history,culture,adventure"
